DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,VSD,LATITUDE,LONGITUDE,Distance,EMBER,FLAME
Destroyed (>50%),,Wood,Unknown,"Mesh Screen <= 1/8""",Combustible,Multi Pane,Unknown,Unknown,Unknown,No Fence,,0,39.73799751,-121.5240194,18.67574855,1,6.124605
Destroyed (>50%),,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,,0,39.73878833,-121.5265774,207.7419781,4,
No Damage,,,,,,,,,,,,,39.82747479,-121.6657625,103.0044075,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Multi Pane,No Deck/Porch,Composite,No Patio Cover/Carport,No Fence,,0,39.77966863,-121.6013511,30.55950259,2,1.543119
No Damage,,,,,,,,,,,,0,39.77965586,-121.6017075,5.613200909,3,1.781367
No Damage,,,,,,,,,,,,0,39.77968647,-121.6017597,5.613200909,3,1.781367
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.73957888,-121.5524981,18.58905373,2,2.417639
Destroyed (>50%),,Asphalt,Unknown,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.73973739,-121.5525887,19.23353402,2,2.417639
Destroyed (>50%),,Asphalt,Unknown,No Vents,Combustible,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.73952804,-121.5527047,18.58905373,2,2.417639
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.74522195,-121.5373613,274.6646794,4,0.980954
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Ignition Resistant,Single Pane,Wood,Masonry/Concrete,Combustible,No Fence,,2,39.74736107,-121.4871101,15.3046862,5,5.27243
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,No Windows,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,,2,39.74729095,-121.4872639,15.3046862,5,5.27243
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.75056901,-121.5254477,150.5543645,,25.376398
Destroyed (>50%),,Asphalt,Enclosed,Unknown,Combustible,Single Pane,Masonry/Concrete,Unknown,Non Combustible,No Fence,,1,39.75182702,-121.526706,96.97889198,4,2.990062
Major (26-50%),,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.74218652,-121.552638,91.98019927,4,35.193707
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,Unknown,No Patio Cover/Carport,No Fence,,,39.75206718,-121.5286284,163.3203499,5,4.353995
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,,0,39.73953842,-121.5484987,79.99006431,6,4.629949
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,,0,39.73902091,-121.5478492,79.99006431,2,2.673104
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,,0,39.73827685,-121.5474146,90.60283162,5,2.492344
Destroyed (>50%),,Metal,Unenclosed,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,2,39.74639103,-121.5516522,133.7412958,5,36.384682
No Damage,,,,,,,,,,,,4,39.73419742,-121.6598703,58.79434712,1,
Destroyed (>50%),,Asphalt,No Eaves,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,,,39.78002656,-121.6003536,27.29507359,,0.730106
Destroyed (>50%),,Metal,Unenclosed,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,0,39.74943163,-121.5555946,158.3385098,12,6.236733
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.74962245,-121.5526244,49.69440619,5,4.360023
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.74971976,-121.5520583,49.69440619,6,2.424645
No Damage,,,,,,,,,,,,,39.74947187,-121.5514331,60.22800858,5,4.744084
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,39.75083453,-121.5552606,42.53661161,2,2.33841
Destroyed (>50%),,Metal,Unenclosed,Unknown,Ignition Resistant,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.75085892,-121.5547652,42.53661161,5,2.117043
Affected (1-9%),,Asphalt,Enclosed,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,3,39.75372325,-121.5519316,13.42813204,5,2.138941
Affected (1-9%),,Metal,No Eaves,No Vents,Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,3,39.75373417,-121.5517755,13.42813204,5,2.138941
No Damage,,,,,,,,,,,,,39.76277721,-121.5235419,717.5150872,,3.972664
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,,,39.76107217,-121.6802965,28.40150146,,
Destroyed (>50%),,Metal,No Eaves,"Mesh Screen > 1/8""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,39.76093513,-121.6800165,28.40150146,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.76155458,-121.6772996,80.16312575,2,
No Damage,,,,,,,,,,,,0,39.71845168,-121.7182957,69.73026064,,
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,2,39.77527138,-121.496194,72.9679413,4,3.658547
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,2,39.77652278,-121.5001621,82.17569595,8,36.418461
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,1,39.77740525,-121.5980673,19.12319735,3,2.627038
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.77725498,-121.5979581,19.12319735,3,2.47533
Destroyed (>50%),,Asphalt,Unknown,Unknown,Ignition Resistant,Multi Pane,Wood,No Deck/Porch,Unknown,No Fence,,0,39.76651011,-121.5552946,242.4328201,9,5.77502
No Damage,,,,,,,,,,,,0,39.78144208,-121.5186877,116.9802002,6,36.049988
Destroyed (>50%),,Asphalt,Unenclosed,Unknown,Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,,,39.78266217,-121.5234467,26.87198792,4,36.567123
Destroyed (>50%),,Asphalt,Unenclosed,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,39.78275342,-121.5237373,26.87198792,4,36.567123
