DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,FLAME,EMBER,LATITUDE,LONGITUDE,Distance,VSD
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,1.06497252,,38.55822575,-122.7895731,90.07393428,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1964,,,38.5843545,-122.833435,89.71931075,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2006,,,38.5858574,-122.8274696,89.71931075,0
No Damage,95448,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.637133,-122.786523,89.5347486,0
No Damage,95448,Asphalt,Enclosed,"Mesh Screen > 1/8""",Vinyl,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,,38.63754402,-122.7863068,89.5347486,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000,,,38.56288185,-122.7987989,88.72687909,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000,,,38.55649595,-122.7873889,88.72687909,0
Affected (1-9%),95448,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Wood,Single Pane,Wood,No Deck/Porch,Combustible,Combustible,1934,,,38.55161923,-122.7716929,88.6838155,0
Affected (1-9%),95492,Tile,Unenclosed,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Multi Pane,Wood,Wood,No Patio Cover/Carport,Non Combustible,1976,,,38.56905075,-122.7979504,88.42892868,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.5593809,-122.7894453,88.42892868,0
Affected (1-9%),95492,Tile,Unenclosed,"Mesh Screen <= 1/8""",Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,1980,,,38.57005309,-122.8244296,88.31809951,0
