DAMAGE,ZIPCODE,ROOFCONSTRUCTION,EAVES,VENTSCREEN,EXTERIORSIDING,WINDOWPANE,DECKPORCHONGRADE,DECKPORCHELEVATED,PATIOCOVER,FENCE,YEARBUILT,LATITUDE,LONGITUDE,EMBER,FLAME,Distance,VSD
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,38.53784948,-122.4681678,,,163.1128535,3
Minor (10-25%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,,38.53743288,-122.4680194,,,114.5850467,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.55162925,-122.4733794,1,,29.78674637,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.55191661,-122.4735002,1,,23.53248107,3
Destroyed (>50%),,Metal,Unknown,Unknown,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.55176329,-122.4734476,1,,29.78674637,3
No Damage,,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1988,38.50509205,-122.6522925,,1.650173664,1215.700563,3
No Damage,,Metal,No Eaves,No Vents,Metal,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.54051508,-122.4692384,,1.147405624,108.9658411,3
Affected (1-9%),,Asphalt,Enclosed,"Mesh Screen > 1/8""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.54098026,-122.4694157,,0.466023505,59.58300717,3
No Damage,,Metal,No Eaves,No Vents,Metal,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1972,38.44480701,-122.601791,,,46.2818779,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,Wood,Combustible,No Fence,1989,38.54573127,-122.4712361,,0.334962875,171.9868821,3
No Damage,,Asphalt,Unenclosed,Unscreened,Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1950,38.55050083,-122.4730751,,0.858043134,135.1503275,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1941,38.53993898,-122.469093,1,1.134659052,48.51804617,3
No Damage,,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,38.52108164,-122.4621198,2,2.330643415,126.8838258,3
No Damage,,Metal,No Eaves,"Mesh Screen > 1/8""",Metal,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1972,38.44557615,-122.6019721,,,271.8300612,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Other,Multi Pane,No Deck/Porch,Masonry/Concrete,Combustible,No Fence,1998,38.45634236,-122.6277231,2,,134.5185363,3
No Damage,,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,38.52142056,-122.4622626,,1.712162971,126.8838258,3
No Damage,,Other,No Eaves,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1972,38.44629935,-122.6014807,,,252.4392538,3
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Wood,Single Pane,Masonry/Concrete,Unknown,Combustible,No Fence,1915,38.53061228,-122.4657416,,0.43699491,225.2270413,3
