DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,VSD ,YEARBUILT,Distance,EMBER,FLAME,LATITUDE,LONGITUDE
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,18.73764932,0.166265191,,34.2920345,-119.2080009
Major (26-50%),,Fire Resistant,Unenclosed,No Vents,Combustible,,1,1964,5.645987512,0.082148031,,34.2927994,-119.2057932
No Damage,,,,,,,1,,6.985068966,0,,34.2939666,-119.2162888
No Damage,,,,,,,1,,6.985068966,0,,34.2939666,-119.2162888
No Damage,,,,,,,1,,9.280861083,0,8.785878181,34.2939666,-119.2162888
No Damage,93003,,,,,,1,,9.280861083,0,8.785878181,34.2939666,-119.2162888
No Damage,,,,,,,1,,18.09649737,0.053827311,13.62666225,34.2977869,-119.2123519
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1977,25.67646704,0.258395454,,34.2931438,-119.2022875
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Single Pane,1,1977,20.66828832,0.302677002,8.463508606,34.2927838,-119.2024871
Destroyed (>50%),,Fire Resistant,Unenclosed,Screened,Fire Resistant,Single Pane,1,1977,25.67646704,0.267700331,2.341132402,34.293232,-119.2025327
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,13.72736924,0,8.952851295,34.2920414,-119.208627
No Damage,,,,,,,1,,52.50935554,0,8.562073708,34.2920683,-119.2075173
No Damage,,,,,,,1,,11.9009273,0.295801731,,34.29418145,-119.2163772
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1997,0,0.17674113,,34.2931027,-119.2114206
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1997,0,0.078325738,,34.2931027,-119.2114206
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1997,0,0.078325738,3.64712739,34.2931027,-119.2114206
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1997,0,0.17674113,3.64712739,34.2931027,-119.2114206
Minor (10-25%),93009,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane,1,1977,29.35446261,0.112583686,1.280258775,34.2932616,-119.2028242
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Unknown,1,1962,29.67286221,0.214934353,,34.293267,-119.2060021
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Single Pane,1,1962,19.3926639,0.47003418,8.791826248,34.2933976,-119.2055589
No Damage,93009,,,,,,1,,17.54000865,0,1.066753387,34.292364,-119.2082044
No Damage,93009,,,,,,1,,25.49435162,0.313870036,,34.2928497,-119.2027917
No Damage,93009,,,,,,1,,25.49435162,0.312286919,,34.2928589,-119.2030768
Major (26-50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Single Pane,1,1964,49.2370373,0.580335558,8.651844025,34.2850539,-119.2870057
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,29.67286221,0.167572564,,34.2934833,-119.2060524
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown,1,1962,22.86522008,0.302671712,,34.2936149,-119.2056513
No Damage,93001,,,,,,1,,46.07247306,0,,34.37495624,-119.4369586
No Damage,93001,,,,,,1,,16.92475224,0,,34.37498149,-119.4369133
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1962,0,0,,34.2930277,-119.2070997
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1962,0,0,,34.2930277,-119.2070997
